Strategy Name, Average Pay-off
Adaptive,2.3891402714932126
Adaptive Tit For Tat,2.3755656108597285
Aggravater,4.167420814479638
Alexei,4.203619909502263
ALLCorALLD,3.239819004524887
Alternator,2.334841628959276
Alternator Hunter,2.3755656108597285
AntiCycler,2.321266968325792
Anti Tit For Tat,2.3619909502262444
Adaptive Pavlov 2006,2.3619909502262444
Adaptive Pavlov 2011,2.3619909502262444
Appeaser,2.3755656108597285
Arrogant QLearner,2.4072398190045248
Average Copier,3.230769230769231
BackStabber,4.167420814479638
Better and Better,4.203619909502263
Black,2.3484162895927603
Borufsen,2.3619909502262444
Bully,4.149321266968326
Bush Mosteller,3.316742081447964
Calculator,2.4027149321266967
Cautious QLearner,2.434389140271493
Cave,2.3619909502262444
Champion,2.3619909502262444
Colbert,2.3755656108597285
CollectiveStrategy,2.334841628959276
Contrite Tit For Tat,2.3891402714932126
Cooperator,2.334841628959276
Cooperator Hunter,2.3484162895927603
Cycle Hunter,2.3619909502262444
Cycler CCCCCD,2.3891402714932126
Cycler CCCD,2.334841628959276
Cycler CCD,2.3755656108597285
Cycler DC,4.203619909502263
Cycler DDC,4.131221719457014
Cycler CCCDCD,2.3755656108597285
Davis,2.3755656108597285
DBS,2.416289592760181
Defector,4.131221719457014
Defector Hunter,2.3484162895927603
Desperate,3.230769230769231
DoubleCrosser,4.203619909502263
Doubler,2.3755656108597285
DoubleResurrection,2.4027149321266967
EasyGo,4.203619909502263
Eatherley,2.334841628959276
EugineNier,4.1855203619909505
Eventual Cycle Hunter,2.321266968325792
Evolved ANN,2.334841628959276
Evolved ANN 5,2.3484162895927603
Evolved ANN 5 Noise 05,2.3755656108597285
Evolved FSM 4,2.3619909502262444
Evolved FSM 16,2.3484162895927603
Evolved FSM 16 Noise 05,2.3619909502262444
EvolvedLookerUp1_1_1,2.3619909502262444
EvolvedLookerUp2_2_2,2.3891402714932126
Evolved HMM 5,2.3619909502262444
Feld,2.3755656108597285
Firm But Fair,2.3619909502262444
Fool Me Forever,4.149321266968326
Fool Me Once,2.3619909502262444
Forgetful Fool Me Once,2.3755656108597285
Forgetful Grudger,2.3755656108597285
Forgiver,2.3755656108597285
Forgiving Tit For Tat,2.3755656108597285
Fortress3,4.131221719457014
Fortress4,4.131221719457014
GTFT,2.3755656108597285
General Soft Grudger,2.321266968325792
Getzler,2.4027149321266967
Gladstein,4.167420814479638
Soft Go By Majority,2.416289592760181
Soft Go By Majority: 10,2.3484162895927603
Soft Go By Majority: 20,2.3619909502262444
Soft Go By Majority: 40,2.321266968325792
Soft Go By Majority: 5,2.3484162895927603
$\phi$,2.334841628959276
GraaskampKatzen,2.3484162895927603
Gradual,2.416289592760181
Gradual Killer,4.167420814479638
Grofman,2.3755656108597285
Grudger,2.321266968325792
GrudgerAlternator,2.3891402714932126
Grumpy,2.321266968325792
Handshake,2.3484162895927603
Hard Go By Majority,4.1855203619909505
Hard Go By Majority: 10,4.149321266968326
Hard Go By Majority: 20,4.149321266968326
Hard Go By Majority: 40,4.131221719457014
Hard Go By Majority: 5,4.167420814479638
Hard Prober,4.221719457013575
Hard Tit For 2 Tats,2.3755656108597285
Hard Tit For Tat,2.4027149321266967
Harrington,2.3619909502262444
Hesitant QLearner,2.4434389140271495
Hopeless,3.266968325791855
Inverse,2.3891402714932126
Inverse Punisher,2.3484162895927603
Joss,2.3755656108597285
Kluepfel,2.3891402714932126
Knowledgeable Worse and Worse,4.131221719457014
Level Punisher,2.3484162895927603
Leyvraz,2.3484162895927603
Limited Retaliate,2.3891402714932126
Limited Retaliate 2,2.321266968325792
Limited Retaliate 3,2.3619909502262444
Math Constant Hunter,2.3891402714932126
Naive Prober,2.334841628959276
MEM2,2.3484162895927603
Michaelos,4.1855203619909505
Mikkelson,2.3619909502262444
MoreGrofman,2.3619909502262444
More Tideman and Chieruzzi,2.3755656108597285
Negation,3.3484162895927603
Nice Average Copier,2.4027149321266967
N Tit(s) For M Tat(s),2.321266968325792
Nydegger,2.3619909502262444
Omega TFT,2.3755656108597285
Once Bitten,2.3755656108597285
Opposite Grudger,4.1855203619909505
$\pi$,2.3619909502262444
Predator,2.3755656108597285
Prober,4.1855203619909505
Prober 2,4.131221719457014
Prober 3,4.149321266968326
Prober 4,2.3891402714932126
Pun1,4.221719457013575
PSO Gambler 1_1_1,2.3484162895927603
PSO Gambler 2_2_2,2.3076923076923075
PSO Gambler 2_2_2 Noise 05,2.334841628959276
PSO Gambler Mem1,2.3619909502262444
Punisher,2.3891402714932126
Raider,4.1855203619909505
Random,3.180995475113122
Random Hunter,2.3619909502262444
