Strategy Name, Average Pay-off
Adaptive,2.334841628959276
Adaptive Tit For Tat,2.3619909502262444
Aggravater,4.167420814479638
Alexei,4.149321266968326
ALLCorALLD,2.9728506787330318
Alternator,2.3755656108597285
Alternator Hunter,2.3891402714932126
AntiCycler,2.3619909502262444
Anti Tit For Tat,2.3619909502262444
Adaptive Pavlov 2006,2.3484162895927603
Adaptive Pavlov 2011,2.3619909502262444
Appeaser,2.334841628959276
Arrogant QLearner,2.420814479638009
Average Copier,3.2986425339366514
BackStabber,4.149321266968326
Better and Better,4.199095022624435
Black,2.3755656108597285
Borufsen,2.416289592760181
Bully,4.167420814479638
Bush Mosteller,3.266968325791855
Calculator,2.3891402714932126
Cautious QLearner,2.4615384615384617
Cave,2.321266968325792
Champion,2.3891402714932126
Colbert,2.3619909502262444
CollectiveStrategy,2.3755656108597285
Contrite Tit For Tat,2.3619909502262444
Cooperator,2.3755656108597285
Cooperator Hunter,2.3755656108597285
Cycle Hunter,2.3619909502262444
Cycler CCCCCD,2.3619909502262444
Cycler CCCD,2.3619909502262444
Cycler CCD,2.3755656108597285
Cycler DC,4.131221719457014
Cycler DDC,4.167420814479638
Cycler CCCDCD,2.3484162895927603
Davis,2.3891402714932126
DBS,2.3755656108597285
Defector,4.149321266968326
Defector Hunter,2.3755656108597285
Desperate,3.1538461538461537
DoubleCrosser,4.1855203619909505
Doubler,2.3619909502262444
DoubleResurrection,2.3619909502262444
EasyGo,4.221719457013575
Eatherley,2.334841628959276
EugineNier,4.149321266968326
Eventual Cycle Hunter,2.3619909502262444
Evolved ANN,2.3755656108597285
Evolved ANN 5,2.334841628959276
Evolved ANN 5 Noise 05,2.3484162895927603
Evolved FSM 4,2.3619909502262444
Evolved FSM 16,2.3755656108597285
Evolved FSM 16 Noise 05,2.3484162895927603
EvolvedLookerUp1_1_1,2.3891402714932126
EvolvedLookerUp2_2_2,2.3891402714932126
Evolved HMM 5,2.3076923076923075
Feld,2.334841628959276
Firm But Fair,2.3619909502262444
Fool Me Forever,4.149321266968326
Fool Me Once,2.3619909502262444
Forgetful Fool Me Once,2.3755656108597285
Forgetful Grudger,2.3484162895927603
Forgiver,2.3484162895927603
Forgiving Tit For Tat,2.4027149321266967
Fortress3,4.167420814479638
Fortress4,4.149321266968326
GTFT,2.3484162895927603
General Soft Grudger,2.4027149321266967
Getzler,2.3619909502262444
Gladstein,4.149321266968326
Soft Go By Majority,2.3755656108597285
Soft Go By Majority: 10,2.3484162895927603
Soft Go By Majority: 20,2.3755656108597285
Soft Go By Majority: 40,2.334841628959276
Soft Go By Majority: 5,2.4027149321266967
