Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Raider,2.8469697420024476,0.3488353744597663,114.0,0.0,0.22645274433309037,0.12097666415164147,0.3062274639847153,0.3463431275305529,0.9349275928993435,0.6041995442970435,0.3740747658761958,0.42246268641806495
1,Prober 3,2.82082266766933,0.25687017052295164,136.5,0.0,0.12631672189661472,0.13037308722232402,0.3534690137099962,0.38984117717106487,0.8231499813144094,0,0.6999430684727218,0.29151717701909197
2,Fortress4,2.782299243725018,0.1350724513418503,165.0,0.0,0.022338642079244204,0.11223581839582711,0.3647572718434846,0.5006682676814441,1.0,0,0,0.26710333858927654
3,Hard Prober,2.768146093947675,0.40569563978833423,106.0,0.0,0.2743259686618415,0.12781955726455968,0.2778365501273031,0.3200179239462957,0.8799457614234872,0.5720722512135934,0.41572318168181965,0.4314904274803163
4,Fortress3,2.7586436680506266,0.20920665843349392,150.0,0.0,0.04905932761472382,0.15891218673524238,0.35791444707694126,0.4341140385730925,1.0,0,0,0.4291727195687651
5,Better and Better,2.755482071345864,0.010080539720725904,207.0,0.001217391304347826,0.0023261559828447833,0.007663572062669661,0.33029301487700835,0.6597172570774772,0.17626262626262626,0.1278934402527141,0.011090758670730354,0.012787057811251147
6,Defector,2.7375755612568993,0.0,211.0,0.0,0.0,0.0,0.32532128443082275,0.6746787155691772,0,0,0,0
7,Tricky Defector,2.7330277398255767,0.26049060657211126,151.0,0.0,0.0433953640996369,0.2168616731364306,0.3565342193555779,0.3832087434083546,0,1.0,0,0.26044010933779205
8,Prober,2.7327209179457275,0.4306762832929255,91.0,0.0,0.2953052513144499,0.13734300923129078,0.26502173982168364,0.30232999963257573,0.8244693865451977,0.5791353877601838,0.7568071201592483,0.39591875424094736
9,Evolved FSM 16,2.7209111905357584,0.7949152098588722,27.0,1.0,0.7030769551357656,0.09232766239247167,0.12104800321983665,0.08354737925192601,0.9119624319407303,0.42718161835580415,0.626145625504488,0.3321774033908341
10,Random: 0.1,2.7141856909205315,0.10095356461739559,177.0,0.10017391304347827,0.03719757291052995,0.06388311656825839,0.3300025342475212,0.5689167762736905,0.10923924068346214,0.10939737837790507,0.10245240668603846,0.10093136598532511
11,Tester,2.7066871784155775,0.5643015761958359,74.0,0.0,0.4149916234826601,0.1468204588227587,0.1998791684719663,0.23830874922261489,0.8222556490393516,0.5953999108743379,1.0,0.4933153325156063
12,MEM2,2.7049938326817675,0.73154792858381,30.0,1.0,0.6847570971718263,0.04391919673192338,0.1109664437251111,0.1603572623711392,0.9980441999288923,0.23802343454724245,0.39082061804966545,0
13,Ripoff,2.700984610266678,0.5406516377482584,80.0,0.0,0.3925743360464121,0.14722799274653137,0.20968247397405873,0.2505151972329978,0.8619316068999721,0.610226008230115,1.0,0.43126752044340244
14,Nice Meta Winner: 200 players,2.6983594532657196,0.6893730485119836,37.0,1.0,0.6505599287041512,0.035801280419736105,0.119641029171843,0.19399776170426977,1.0,0,0,0
15,Gladstein,2.6983459496384867,0.5542284908567862,74.0,0.0,0.409952631121046,0.14669729165875198,0.20008097799177832,0.24326909922842374,0.8217969016090693,0.5904926541591249,1.0,0.4797552063830392
16,NMWE Memory One: 35 players,2.6977011344647432,0.68673366350916,36.5,1.0,0.6513859750103859,0.03706751420562669,0.12001344881440602,0.19153306196958142,0.9946304943969585,0.10514034479433697,0.010259154010026035,0.053392137910412835
17,Grudger,2.697628873265799,0.6848811797704473,37.0,1.0,0.6487710748281166,0.035030119353940625,0.1208807253010589,0.19531808051688396,1.0,0,0,0
